id_req,desc_cat1,desc_cat2,desc_cat3,desc_cat4,desc_pegText
CR3P,Contractural Combustion,Contractural Combustion,COMBUSTION,"EXTENDED COMBUSTION INSPECTION INTERVAL TO 24,000 HOURS FOR DRY LOW NOX 2.6 RETROFIT EXISTING HARDWARE [CR3P]","DLN2.6 EI Comb. System, Retrofit Existing Hdwr"
CR3Q,Contractural Combustion,Contractural Combustion,COMBUSTION,"EXTENDED COMBUSTION INSPECTION INTERVAL FROM 8,000 HOURS TO 24,000 HOURS, DRY LOW NOX2+ [CR3Q]","91FA/FA+e, Extended Interval Combustion System"
CR3R,Contractural Combustion,Contractural Combustion,COMBUSTION,INCREASE COMBUSTION INSPECTION INTERVAL [CR3R],"7FA+e, CI, Extended Interval Combustion System"
CR3S,Contractural Combustion,Contractural Combustion,COMBUSTION,"EXTENDED COMBUSTION INSPECTION INTERVAL TO 24,000 HOURS, DRY LOW NOX2.0 [CR3S]",9FA DLN 2.0 EICS
CR3T,Contractural Combustion,Contractural Combustion,COMBUSTION,IMPROVE DLN2.6 TRANSITION PIECE DURABILITY [CR3T],DLN 2.6 Transition Piece Durability Improvement
FA1A,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERT FROM DUAL FUEL TO GAS ONLY --REMOVE LIQUID FUEL [FA1A],CONVERT TO NATURAL GAS ONLY
FA1B,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERSION TO LOW BTU GAS FUEL [FA1B],CONVERT TO LOW BTU GAS FUEL
FA1C,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERSION TO HIGH BTU GAS FUEL [FA1C],CONVERT TO HIGH BTU GAS FUEL
FA1D,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD NATRL GAS CONDITIONING SKID [FA1D],NATURAL GAS CONDITIONING SKID
FA1E,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD NATRL GAS BOOSTER CMPRSR [FA1E],NATURAL GAS BOOSTER COMPRESSOR
FA1F,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD GAS FUEL MSRMNT SYSTEM FOR NOX CONTROL [FA1F],NATURAL GAS MEASUREMENT SYSTEM FOR NOX CONT
FA1G,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD GAS FUEL SCRUBBER [FA1G],FUEL GAS SCRUBBER SKID
FA1H,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD GAS FUEL FLOWMETER MODULE [FA1H],FUEL GAS FLOWMETER/MODULE
FA1J,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERT TO PROPANE GAS FUEL [FA1J],CONVERT TO PROPANE FUEL GAS
FA1K,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERT TO BUTANE GAS FUEL [FA1K],CONVERT TO BUTANE FUEL GAS
FA1L,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERT TO HIGH H2 CONTENT GAS FUEL [FA1L],CONVERT TO HIGH HYDROGEN FUEL GAS
FA1M,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERT TO ETHANE GAS FUEL [FA1M],CONVERT TO ETHANE FUEL GAS
FA1N,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,CONVERT FROM LIQUID FUEL TO NATRL GAS FUEL [FA1N],CONVERT TO NATURAL GAS LIQUID FUEL
FA1P,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD OFF-BASE GAS FUEL CONTROL VALVE SKID [FA1P],OFF BASE GAS CONTROL VALVE SKID
FA1Q,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD GAS FUEL VALVE SKID INCLUDING HYDRAULIC OIL [FA1Q],GAS VALVE SKID INCLUDING HYDRAULIC OIL
FA1R,FUEL SYSTEMS,GAS FUEL SYSTEMS,GAS FUEL AND PURGE,ADD ELECTRIC GAS FUEL VALVE [FA1R],Electric Gas Valve
FA1S,FUEL SYSTEMS,GAS FUEL SYSTEMS,DATA AND SERVICES,PERFORM FUEL CHANGE STUDY [FA1S],Fuel Change Study
FA1T,FUEL SYSTEMS,GAS FUEL SYSTEMS,CONTROL SOFTWARE,ADD GAS FUEL QUALITY MANAGEMENT SYSTEM FUEL WOBBE INDEX CLOSED LOOP [FA1T],"Fuel Wobbe Index Closed Loop, 04-997"
FA1U,FUEL SYSTEMS,GAS FUEL SYSTEMS,CONTROL SOFTWARE,ADD DRY LOW NOX 2.6 AND 2.6+  OPFLEX WIDE WOBBE AUTOTUNE [FA1U],OpFlex Autotune DX (original AutoTune)
FA1UA,FUEL SYSTEMS,GAS FUEL SYSTEMS,CONTROL SOFTWARE,ADD DRY LOW NOX 2.6 AND 2.6+  OPFLEX ALL-LOAD AUTOTUNE MX [FA1UA],OpFlex AutoTune MX (All Load AutoTune)
FA1UB,FUEL SYSTEMS,GAS FUEL SYSTEMS,CONTROL SOFTWARE,ADD DRY LOW NOX 2.6 AND 2.6+  OPFLEX VARIABLE LOAD PATH AUTOTUNE [FA1UB],OpFlex Variable Load Path
FA1V,FUEL SYSTEMS,GAS FUEL SYSTEMS,,,later
FA1W,FUEL SYSTEMS,GAS FUEL SYSTEMS,CONTROL SOFTWARE,ENHANCE DRY LOW NOX 2.6+ OPFLEX AUTOTUNE OPFLEX  MBC COLD DAY PERFORMANCE [FA1W],"OpFlex MBC Cold Day Performance, 05-407.3"
FA1X,FUEL SYSTEMS,GAS FUEL SYSTEMS,CONTROL SOFTWARE,ADD SLIDING FUEL STROKE REF  (FUEL DEMAND) FOR MODIFIED WOBBE INDEX VARIATIONS UP TO 15 PERCENT IN START-UP FOR DRY LOW NOX  OR STANDARD COMBUSTORS. [FA1X],Sliding FSR
FA2A,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,CONVERT TO DISTILLATE FUEL ONLY WITH LOW PRESSURE ATOMIZING AIR [FA2A],CONVERT TO DISTILLATE FUEL ONLY LPAA
FA2B,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,CONVERT TO DISTILLATE FUEL ONLY WITH MECHANICAL ATOMIZING AIR [FA2B],CONVERT TO DISTILLATE ONLY MECH ATOM
FA2C,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,CONVERT TO HEAVY FUEL WITH HIGH PRESSURE ATOMIZING AIR [FA2C],CONVERT TO HEAVY FUEL HPAA
FA2D,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,ADD ELECTRIC FUEL PUMP CLUTCH TO EXTEND LIFE OF THE FUEL PUMP  (GE PRIME UNITS ONLY) [FA2D],ADD FUEL PUMP CLUTCH
FA2E,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,CONVERT TO KEROSENE LIQUID FUEL [FA2E],CONVERT TO KEROSENE LIQUID FUEL
FA2F,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,CONVERT TO METHANOL FUEL [FA2F],CONVERT TO METHANOL
FA2G,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,REPLACEMENT FLOW DIVIDER [FA2G],REPLACEMENT FLOW DIVIDER
FA2H,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,REPLACEMENT FUEL PUMP [FA2H],REPLACEMENT FUEL PUMP
FA2J,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,APPLY PRESSURE COMPENSATED FLOW DIVIDER (PCFD) FOR NAPHTHA LIQUID FUEL SYSTEM [FA2J],CONVERT TO NAPHTHA LIQUID FUEL
FA2L,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,APPLY UNIVERSAL LIQUID FUEL SYSTEM [FA2L],UNIVERSAL LIQUID FUEL SYSTEM
FA2M,FUEL SYSTEMS,LIQUID FUEL SYSTEMS,LIQUID FUEL AND PURGE,APPLY CORROSION RESISTANT FLOW DIVIDERS [FA2M],Corrosion-Resistant Flow Dividers
FA3A,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,GAS FUEL AND PURGE,APPLY DUAL GAS FUEL SYSTEM [FA3A],DUAL GAS FUEL
FA3B,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,LIQUID FUEL AND PURGE,APPLY DUAL LIQUID FUEL SYSTEM WITH LOW PRESSURE ATOMIZING AIR [FA3B],DUAL LIQUID FUEL LPAA
FA3C,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,LIQUID FUEL AND PURGE,APPLY DUAL LIQUID FUEL SYSTEM WITH HIGH PRESSURE ATOMIZING AIR [FA3C],DUAL LIQUID FUEL HPAA
FA3D,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,LIQUID FUEL AND PURGE,ADD NATRL GAS TO DISTILLATE-ONLY WITH AUTO TRANSFER FOR SYSTEMS WITH LOW PRESSURE ATOMIZING AIR [FA3D],"DUAL FUEL, DIST ONLY - ADDING GAS"
FA3E,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,LIQUID FUEL AND PURGE,APPLY DUAL FUEL (GAS AND DISTILLATE) WITH MECHANICAL ATMZN [FA3E],"DUAL FUEL, GAS/DIST (MECH ATOMIZATION)"
FA3F,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,MULTIPLE FUEL AND PURGE,"APPLY TRI-FUEL (GAS, DIST, AND HEAVY OIL) WITH LOW PRESSURE ATOMIZING AIR [FA3F]",TRI-FUEL (GAS/DISTILLATE/HEAVY OIL) LPAA
FA3G,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,MULTIPLE FUEL AND PURGE,"APPLY TRI-FUEL (GAS, DIST, AND HEAVY OIL) WITH HIGH PRESSURE ATOMIZING AIR [FA3G]",TRI-FUEL (GAS/DISTILLATE/HEAVY OIL) HPAA
FA3H,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,DATA AND SERVICES,PERFORM FUEL CHANGE STUDY FOR FUELS REQUIRING COMBUSTION DEVELOPMENT [FA3H],FUELS REQUIRING COMBUSTION DEVELOPMENT
FA3I,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,LIQUID FUEL AND PURGE,ADD LIQUID FUEL PURGE TO DUAL-FUEL SYSTEM [FA3I],LIQUID FUEL PURGE
FA3J,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,MULTIPLE FUEL AND PURGE,ADD DISTILLATE TO NATRL GAS ONLY SYSTEM [FA3J],"DUAL FUEL, GAS ONLY - ADDING DIST"
FA3K,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,MULTIPLE FUEL AND PURGE,ADD AUTO- PURGE FOR EXOTIC FUELS IN DUAL FUEL SYSTEMS [FA3K],AUTOMATIC PURGE FOR EXOTIC FUELS
FA3L,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,COMBUSTION,UPGRADE DRY LOW NOX 1 CHECK VALVES TO THREE-WAY VALVES [FA3L],3-WAY VALVES FOR DLN-1
FA3M,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,COMBUSTION,"UPGRADE DRY LOW NOX 2, 2+, 2.6 CHECK VALVES TO THREE-WAY VALVES [FA3M]","3-Way Valves for DLN2, 2+, 2.6e"
FA3N,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,SYSTEM UPGRADES,ADD LIQUID FUEL RECIRC SYSTEM TO DUAL FUEL SYSTEM [FA3N],Liquid Fuel Recirculation
FA3O,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,ENCLOSURES AND PIPING,APPLY PIPE AND FLEXHOSE ID TAGS [FA3O],Pipe and Flexhose ID Tags
FA3P,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,MULTIPLE FUEL AND PURGE,ADD LIQUID FUEL CHECK VALVE COOLING SLEEVE FOR DUAL FUEL SYSTEMS [FA3P],LIQ FUEL CK VALVE COOLING SLEEVE
FA3Q,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,COMBUSTION,APPLY E-CLASS NITROGEN PURGE FOR STANDARD COMBUSTOR[FA3Q],E Class Nitrogen Purge Std Combustor
FA3R,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,LIQUID FUEL AND PURGE,ADD LIQUID FUEL NITROGEN PURGE TO DUAL FUEL SYSTEM [FA3R],F Class Liquid Fuel Nitrogen Purge
FA3S,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,COMBUSTION,APPLY FUEL GAS PURGE VALVE RELIABILITY UPGRADE [FA3S],Fuel Gas Purge Valve Reliability Upgrade
FA3T,FUEL SYSTEMS,MULTIPLE FUEL SYSTEMS,COMBUSTION,ADD WATER COOLED LIQUID FUEL CHECK VALVES [FA3T],"Water Cooled, Liquid Fuel Check Valves"
FA4A,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD OFF BASE LIQUID FUEL SKID [FA4A],DISTILLATE FUEL SKID
FA4B,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD FUEL SKID BACK-UP AC DISTILLATE PUMP [FA4B],FUEL SKID BACKUP AC DISTILLATE PUMP
FA4C,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD FUEL SKID EMERGENCY DC DISTILLATE PUMP [FA4C],FUEL SKID EMERGENCY DC DISTILLATE PUMP
FA4D,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD DISTILLATE FUEL SKID AC/DC PIGGYBACK MOTOR [FA4D],FUEL SKID AC/DC PIGGYBACK MOTOR DISTILLATE
FA4E,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),ENCLOSURES AND PIPING,PROVIDE FUEL SKID ENCLOSURE [FA4E],FUEL SKID ENCLOSURE
FA4F,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD FUEL SKID HEATERS WITH 20-DEGREE TEMPERATURE RISE [FA4F],FUEL SKID HEATER(S) - 20 DEGREE F RISE
FA4G,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD FUEL FLOW METER [FA4G],FUEL FLOW METER
FA4H,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,ADD MULTIPLE-UNIT FUEL SKID [FA4H],MULTIPLE UNIT FUEL SKID
FA4J,FUEL SYSTEMS,FUEL SKIDS (SEE PEO/PPE FOR FUEL SKIDS),LIQUID FUEL AND PURGE,FUEL SKID CONVERSION [FA4J],FUEL SKID CONVERSION
FA5A,FUEL SYSTEMS,FUEL TREATMENT,MULTIPLE FUEL AND PURGE,ADD FUEL PURIFICATION SYSTEM [FA5A],FUEL PURIFICATION SYSTEM
FA5B,FUEL SYSTEMS,FUEL TREATMENT,LIQUID FUEL AND PURGE,ADD LIQUID FUEL OFF-BASE DUPLEX FILTERS [FA5B],DUPLEX LP FUEL FILTERS OFF-BASE
FA5C,FUEL SYSTEMS,FUEL TREATMENT,LIQUID FUEL AND PURGE,APPLY  LIQUID FUEL VANADIUM INHIBITION SYSTEM [FA5C],VANADIUM INHIBITION SYSTEM
FA5D,FUEL SYSTEMS,FUEL TREATMENT,LIQUID FUEL AND PURGE,ADD LIQUID FUEL SPECTROMETER [FA5D],Spectrometer
FA5E,FUEL SYSTEMS,FUEL TREATMENT,GAS FUEL AND PURGE,ADD FUEL GAS HEATER FOR DRY LOW NOX  SYSTEMS [FA5E],GAS HEATER FOR F CLASS DLN SYSTEMS
FA6A,FUEL SYSTEMS,ATOMIZING AIR SYSTEMS,ATOMIZING AIR,REPLACE ATOMIZING AIR CMPRSR [FA6A],REPLACE ATOM AIR COMPRESSOR
FA6B,FUEL SYSTEMS,ATOMIZING AIR SYSTEMS,ATOMIZING AIR,ADD ATOMIZING AIR SYSTEM [FA6B],ADD ATOMIZING AIR SYSTEM
FA6C,FUEL SYSTEMS,ATOMIZING AIR SYSTEMS,ATOMIZING AIR,ADD COMPRESSORLESS ADVANCED PURGE SYSTEM [FA6C],Advanced Purge System
FA6D,FUEL SYSTEMS,ATOMIZING AIR SYSTEMS,ATOMIZING AIR,APPLY TIL 1457-2 DUAL ATOMIZING AIR COMPRESSORS [FA6D],Dual Atomizing Air Compressor  (TIL 1457-2)
FB1A,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,ADD DIRECT FEED LUBE OIL PUMP [FB1A],AC AUXILLIARY LUBE OIL PUMP
FB1B,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,ADD DC EMERGENCY LUBE PUMP [FB1B],DC EMERGENCY LUBE OIL PUMP
FB1C,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,ADD AC AUXILIARY HYDRAULIC PUMP [FB1C],AC AUXILLIARY HYDRAULIC PUMP
FB1D,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,ADD SHAFT-DRIVEN MAIN HYDRAULIC PUMP [FB1D],ADD SHAFT DRIVE MAIN HYDRAULIC PUMP
FB1E,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,ADD DC EMERGENCY HYDRAULIC PUMP [FB1E],DC EMERGENCY HYDRAULIC PUMP
FB1F,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,CONVERT TO SEPARATE AC/DC Lube Oil Pumps [FB1F],Convert to Separate AC/DC LO Pumps
FB1G,LUBRICATION & HYDRAULIC,LUBRICATION PUMPS,LUBRICATION & HYDRAULIC,APPLY NEW INTERNALLY LUBRICATED PUMPS [FB1G],Internally Lubricated Pumps
FB2A,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL LUBE OIL SYSTEM FILTERS [FB2A],DUAL LUBE OIL SYSTEM FILTERS
FB2B,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL COUPLING LUBE OIL FILTERS [FB2B],DUAL LUBE OIL FILTERS - COUPLING OIL
FB2C,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL HYDRAULIC AND CONTROL OIL LUBE OIL FILTERS [FB2C],DUAL L.O. FILTERS - HYDRAULIC AND CONTROL
FB2D,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL LUBE OIL COOLERS WITH ADMIRALTY TUBES [FB2D],DUAL LUBE OIL COOLERS - ADMIRALTY TUBES
FB2E,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL LUBE OIL COOLERS WITH CARBON STEEL TUBES [FB2E],DUAL LUBE OIL COOLERS - CARBON STEEL TUBES
FB2F,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL LUBE OIL COOLERS WITH STAINLESS STEEL TUBES [FB2F],DUAL LUBE OIL COOLERS-STAINLESS STEEL TUBES
FB2G,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL LUBE OIL COOLERS WITH 90CU-10NI TUBES [FB2G],DUAL LUBE OIL COOLERS-90-10 CU-NI TUBES
FB2H,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY DUAL LUBE OIL COOLERS WITH MANEL TUBES [FB2H],DUAL LUBE OIL COOLERS-MANEL TUBES
FB2J,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,ADD LUBE OIL VENT DEMISTER [FB2J],LUBE VENT DEMISTER
FB2K,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,ADD LUBE OIL VENT ELECTROSTATIC PRECIPITATOR [FB2K],LUBE VENT ELECTROSTATIC PRECIPITATOR
FB2L,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,APPLY ENHANCED CAPABILITY LUBE OIL COOLER [FB2L],Enhanced Capability L.O. Cooler
FB2M,LUBRICATION & HYDRAULIC,LUBE OIL FILTERS AND COOLERS,LUBRICATION & HYDRAULIC,ADD LUBE OIL ANALYZER [FB2M],Lube Oil Analyzer
FB3A,LUBRICATION & HYDRAULIC,HYDRAULIC OIL SYSTEMS,LUBRICATION & HYDRAULIC,ADD HYDRAULIC OIL SKID [FB3A],HYDRAULIC SKID
FB3L,LUBRICATION & HYDRAULIC,HYDRAULIC OIL SYSTEMS,LUBRICATION & HYDRAULIC,ADD LUBE OIL ACCUMULATOR [FB3L],LUBE SYSTEM ACCUMULATOR
FC1A,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO DIESEL START [FC1A],CONVERT TO DIESEL START
FC1B,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO MOTOR START [FC1B],CONVERT TO MOTOR START
FC1C,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO STEAM TURBINE START [FC1C],CONVERT TO STEAM TURBINE START
FC1D,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO AIR EXPANSION TURBINE START [FC1D],CONVERT TO AIR EXPANSION TURBINE START
FC1E,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO HYDRAULIC MOTOR START [FC1E],CONVERT TO HYDRAULIC MOTOR START
FC1F,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,ADD AC MOTOR DRIVE HYDRAULIC START SKID [FC1F],AC MOTOR DRIVE HYDRAULIC START SKID
FC1G,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,ADD DIESEL ENGINE DRIVE HYDRAULIC START SKID [FC1G],DIESEL ENGINE DRIVE HYDRAULIC START SKID
FC1H,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,APPLY HYDRAULIC RATCHET DC MOTOR COOLDOWN [FC1H],HYDRAULIC RATCHET-DC MOTOR ROTOR COOLDOWN
FC1J,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO LARGER DIESEL STARTER [FC1J],CONVERT TO A LARGER DIESEL
FC1K,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,CONVERT TO VOITH TORQUE CONVERTER START SYSTEM [FC1K],VOITH TORQUE CONVERTER START SYS
FC1L,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,APPLY STATIC START SYSTEM [FC1L],STATIC START
FC1M,ACCESSORY SYSTEMS,STARTING SYSTEMS,STARTING,REPLACE STARTING SYSTEM JAW TYPE CLUTCH WITH A STATIC START SYSTEM [FC1M],SSS Starting Clutch
FC2A,ACCESSORY SYSTEMS,COOLING WATER SYSTEMS,COOLING WATER,ADD CONVENTIONAL INDUSTRIAL COOLING WATER SYSTEM [FC2A],CONVENTIONAL INDUSTRIAL COOLING WATER SYSTE
FC2B,ACCESSORY SYSTEMS,COOLING WATER SYSTEMS,COOLING WATER,ADD ON-BASE HIGH AMBIENT COOLING WATER SYSTEM [FC2B],ON-BASE COOLING WATER SYSTEM (HIGH AMBIENT)
FC2C,ACCESSORY SYSTEMS,COOLING WATER SYSTEMS,COOLING WATER,ADD ON-BASE (110 DEGREE F) COOLING WATER SYSTEM [FC2C],ON-BASE COOLING WATER SYSTEM (110 DEGREE F
FC2D,ACCESSORY SYSTEMS,COOLING WATER SYSTEMS,COOLING WATER,ADD OFF BASE OIL-TO-AIR OIL COOLING SYSTEM [FC2D],OFF-BASE OIL TO AIR COOLING SYSTEM
FC2E,ACCESSORY SYSTEMS,COOLING WATER SYSTEMS,COOLING WATER,ADD OFF BASE SUPPLEMENTAL WATER COOLER [FC2E],SUPPLEMENTAL OFF BASE WATER COOLER
FC2F,ACCESSORY SYSTEMS,COOLING WATER SYSTEMS,COOLING WATER,ADD OFF BASE WATER-TO-AIR COOLING WATER SYSTEM [FC2F],OFF-BASE WATER TO AIR COOLER
