"","text","Freq"
"346","FK2E",2
"347","FK2F",12
"348","FK2G",10
"349","FK2GA",13
"350","FK2KB",1
"351","FK2L",14
"352","FK2M",8
"353","FK2R",1
"354","FK2S",1
"355","FK2V",6
"356","FK2YC",12
"357","FK3F",2
"358","FK3M",1
"359","FK3O",1
"360","FK3S",1
"361","FK3Y",134
"362","FK3YA",44
"363","FK3YB",56
"364","fk3yc",3
"365","FK3YC",1100
"366","FK3YD",2
"367","FK3YE",46
"368","FK3YF",1
"369","FK3Z",1
"370","FK4",1
"371","FK4B",4
"372","FK4F",74
"373","FK4G",1
"374","FK4J",1
"375","FK4S",6
"376","FK5B",8
"377","FK5C",14
"378","FK5F",10
"379","FK5I",7
"380","FK5K",80
"381","FK5M",3
"382","FK5N",178
"383","FK5NA",14
"384","FK5P",22
"385","FK5R",215
"386","FK6P",224
"387","FK7B",12
"388","FK7D",2
"389","FK7E",1
"390","FK7G",28
"391","FK7GA",4
"392","FK7GB",1
"393","FK7H",54
"394","FK7I",6
"395","FK7K",8
"396","FK7L",6
"397","FK8",18
"398","FK8E",7
"399","FK8G",197
"400","FK8H",552
"401","FK8I",5
"402","FK8J",13
"403","FK8K",12
"404","FK8L",29
"405","FK8N",5
"406","FK8O",3
"407","FK8Q",26
"408","FK8R",2
"409","FK8S",33
"410","FK8U",1
"411","FK8V",20
"412","FK8X",77
"413","FK8Y",3
"414","FK8Z",1
"415","FK8ZA",2
"416","FK9A",432
"417","fk9aa",2
"418","FK9AA",1011
"419","FK9AB",133
"420","FK9B",2
"421","FK9C",7
"422","FK9D",6
"423","FK9E",3
"424","FK9H",9
"425","FK9I",195
"426","FK9J",10
"427","FK9KC",1
"428","FK9M",2
"429","FK9N",51
"430","FK9O",15
"431","FK9Q",4
"432","FK9S",220
"433","FK9T",2
"434","FK9U",27
"435","FK9V",1
"436","FK9XA",55
"437","FK9XB",67
"438","FK9XC",10
"439","FK9YA",132
"440","FK9YB",11
"441","FK9YC",2
"442","FKPXA",1
"443","FL2K",2
"444","FL2T",1
"445","FL3I",1
"446","FLD1",1
"447","FM",7
"448","FM1K",14
"449","FM1K;",1
"450","FM3",1
"451","FM3G",1
"452","FM3J",854
"453","FM3J.",5
"454","fm3n",1
"455","FM3N",530
"456","FM3NA",395
"457","FM3NB",148
"458","FM4C",8
"459","FM7J",1
"460","FN1C",1
"461","FN1G",5
"462","FN1J",4
"463","FN1M",1
"464","FN2E",12
"465","FN3A",1
"466","FP1B",10
"467","FP1F",19
"468","FP1H",45
"469","FP1L",14
"470","FP1M",15
"471","FP1N",1
"472","FP1P",1
"473","FP2F",25
"474","FP2K",5
"475","FP3",1
"476","FP4A",16
"477","FP4B",24
"478","FP4C",14
"479","FP4D",20
"480","FP4E",38
"481","FP4F",3
"482","FP4G",2
"483","FQ1F",3
"484","FQ1G",2
"485","FQ1H",4
"486","FQ2A",3
"487","FQ2B",6
"488","FQ2C",9
"489","FR1B",7
"490","FR1D",6
"491","FR1E",2
"492","FR1F",1
"493","FR1G",45
"494","FR1H",4
"495","FR1J",15
"496","FR1P",18
"497","FR1Q",24
"498","FR1T",31
"499","FR1U",4
"500","FR1V",136
"501","FR1W",374
"502","FR1Y",3
"503","FR2A",8
"504","FR2B",57
"505","FR2D",2
"506","FR2F",1
"507","FR2G",387
"508","FR2GA",5
"509","FR2GB",1
"510","FR2GC",1
"511","FR2HA",1
"512","FR2I",2
"513","fr2j",1
"514","FR2J",411
"515","FR2M",12
"516","FR2N",7
"517","FR2R",3
"518","FR2RG",2
"519","FR2T",18
"520","FR2U",26
"521","FR2V",471
"522","FR2W",5
"523","FR2X",15
"524","FS",19
"525","FS1",4
"526","FS1A",8
"527","FS1B",11
"528","FS1D",7
"529","FS1F",40
"530","FS1G",2
"531","FS1H",4
"532","FS1I",1
"533","FS1K",10
"534","FS1L",22
"535","FS1M",11
"536","FS1N",1
"537","FS1P",207
"538","FS1R",65
"539","FS1T",57
"540","FS1U",43
"541","FS1W",63
"542","FS2A",60
"543","FS2B",663
"544","FS2C",3
"545","FS2D",115
"546","FS2F",17
"547","FS2G",24
"548","FS2H",2
"549","FS2I",2
"550","FS2J",252
"551","FS2K",88
"552","FS2R",2
"553","FS2S",101
"554","FS2T",336
"555","FS2U",297
"556","FS2V",558
"557","FS2X",215
"558","FS2Y",546
"559","FS2Z",669
"560","FS3K",4
"561","FS4A",190
"562","FS4AK",2
"563","FS4B",253
"564","FS4C",36
"565","FS4D",2
"566","FS4I",4
"567","FS4J",19
"568","FS4K",562
"569","FS4K/L",7
"570","FS4KA",47
"571","FS4L",498
"572","FS4L/k",1
"573","FS4LFT5B",1
"574","FS4P",236
"575","FS4P.FS5VD",5
"576","FS4Q",5
"577","FS4R",116
"578","FS5B",32
"579","FS5BA",97
"580","FS5O",47
"581","FS5R",126
"582","FS5S",158
"583","FS5T",21
"584","FS5U",7
"585","FS5V",45
"586","FS5VA",5
"587","FS5VB",136
"588","FS5VD",348
"589","FS5VE",410
"590","FS5VF",189
"591","FS5W",96
"592","FS5WA",5
"593","FS5WB",144
"594","FS5WC",155
"595","FS5WD",123
"596","FS5WE",29
"597","FS5WF",26
"598","FS5X",381
"599","FS5XA",9
"600","FS6",2
"601","FS6A",654
"602","FS6C",393
"603","FS6D",11
"604","FS6E",6
"605","FS6F",3
"606","FS6G",51
"607","FS6H",57
"608","FS6I",51
"609","FS6J",3
"610","FS6L",10
"611","FS6N",1
"612","FT",1
"613","FT1W",15
"614","FT2K",1
"615","FT2U",11
"616","FT3A",2
"617","FT3C",30
"618","FT3D",8
"619","FT3I",3
"620","FT3M",32
"621","FT3O",14
"622","FT3R",21
"623","FT3T",9
"624","FT4",5
"625","FT4C",26
"626","FT4J",1
"627","FT4K",1
"628","FT4M",59
"629","FT4P",96
"630","FT5",2
"631","FT5B",37
"632","FT5C",3
"633","FT5H",72
"634","FT5P",3
"635","FT5Q",63
"636","FT5R",1
"637","FT5Y",3
"638","FT6A",1
"639","FT6B",78
"640","FT6E",6
"641","FT6F",396
"642","FT6G",12
"643","FT6GA",5
"644","FT6GB",4
"645","FT6J",7
"646","FT6K",4
"647","FT6T",3
"648","FT6Y",29
"649","FT7A",1
"650","FT7D",3
"651","FT7F",4
"652","FT7I",12
"653","ft7j",2
"654","FT7J",2965
"655","FT7J;",5
"656","FT7K",1171
"657","FT8A",26
"658","FT9A",6
"659","FT9B",5
"660","FT9C",1
"661","FT9D",4
"662","FT9E",125
"663","FT9F",9
"664","FT9H",74
"665","FTJ7",1
"666","FV",5
"667","FV1A",4
"668","FV1B",65
"669","FV1C",20
"670","FV1D",6
"671","FV1E",17
"672","FV1F",7
"673","FV1G",8
"674","FV1H",12
"675","FV1I",10
"676","FV1J",7
"677","FV1Q",2
"678","FV1S",10
"679","FV1T",2
"680","FV1W",2
"681","fv1y",2
"682","FV1Y",1071
"683","fv1ya",2
"684","FV1YA",370
"685","FV1YB",24
"686","FV1YB/C",2
"687","FV1YC",10
"688","FV1Z",112
"689","FV1ZA",9
"690","FV2M",1
"691","FV4C",23
"692","FV4D",1
"693","FV4E",10
"694","FV4F",6
"695","FV4G",6
"696","FV4H",6
"697","FV4I",9
"698","FV4J",12
"699","FV4S",17
"700","FV7",5
"701","FV7A",2
"702","fv7b",2
"703","FV7B",193
"704","FV7BA",15
"705","FV7BB",575
"706","FV7D",1
"707","FV7E",1
"708","fv7f",2
"709","FV7F",79
"710","fv7g",2
"711","FV7G",427
"712","FV7H",27
"713","FV7I",272
"714","FV7K",70
"715","FV7L",261
"716","FV7M",17
"717","FV7MA",29
"718","FV7N",27
"719","FV7N;",4
"720","FV7O",97
"721","FV7P",2
"722","FV7PA",116
"723","FV7PB",37
"724","FV7PC",31
"725","FV7PD",12
"726","FV7Q",4
"727","FV7R",12
"728","FV7S",2
"729","FV7T",296
"730","FV7U",49
"731","FV7UA",59
"732","FV7VA",35
"733","FV7VB",18
"734","FV8",1
"735","FV8A",10
"736","FV8B",24
"737","FV8C",28
"738","FV8D",19
"739","FV8E",11
"740","FV8F",26
"741","FV8G",15
"742","FV8H",6
"743","FV8I",17
"744","FV8J",2
"745","FV8K",10
"746","FW",9
"747","FW1A",9
"748","FW1H",2
"749","FW1J",2
"750","FW1L",2
"751","FW1N",2
"752","FW3",2
"753","FW3E",3
"754","FW3O",1
"755","FW3R",6
"756","FW3S",1
"757","FW3V",26
"758","FW3W",1
"759","FW3X",739
"760","FW3Z",2
"761","FW4",1
"762","FW40",1
"763","FW4B",9
"764","FW4C",1
"765","FW4D",3
"766","FW4H",93
"767","FW4I",444
"768","FW4J",91
"769","FW4K",5
"770","FW4L",38
"771","FW4LB",8
"772","FW4M",10
"773","FW4N",590
"774","FW4O",523
"775","FW4Q",17
"776","FW4R",18
"777","FW4S",3
"778","FW4T",6
"779","FW4U",3
"780","FW4UA",2
"781","FW4V",1
"782","FW4VA",1
"783","FW4W",29
"784","FW4X",23
"785","FW5A",27
"786","FW5B",42
"787","FW5E",3
"788","FW5F",101
"789","FW5G",12
"790","FW5J",6
"791","FW5X",2
"792","FX9YA",1
"793","FZ",3
"794","FZ!Z",1
"795","FZ11",2
"796","FZ1A",23
"797","FZ1B",28
"798","FZ1C",25
"799","FZ1D",358
"800","FZ1DA",19
"801","FZ1E",220
"802","FZ1F",1
"803","fz1z",8
"804","Fz1z",3
"805","FZ1Z",4009
"806","FZ2",18
"807","FZ2A",16
"808","FZ2C",2
"809","FZ2D",873
"810","FZ2E",669
"811","FZ2F",775
"812","FZ2G",15
"813","FZ2H",444
"814","fz2z",2
"815","FZ2Z",586
"816","FZ3Z",3
"817","FZID",1
"818","FZIZ",2
"819","GAS",1
"820","in",1
"821","is",1
"822","n/a",19
"823","N/A",8
"824","n/s",1
"825","No",1
"826","None",4
"827","not",2
"828","NPP#",1
"829","OTH1",1
"830","OTH2",1
"831","OTH4",2
"832","R",4
"833","R1",2
"834","SA1B",5
"835","SA1C",5
"836","SA1D",17
"837","SA1E",3
"838","SBK",1
"839","SN1C",1
"840","Sourcebooks",2
"841","SS1J",3
"842","SS1K",1
"843","SS1L",4
"844","STY6",1
"845","STY8",2
"846","STY9",1
"847","the",1
"848","TIL",12
"849","TIL1",1
"850","TIL1346",2
"851","TIL1819",4
"852","uploaded",1
"853","Wenzou",3
"854","yet",1
